formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨습니다. 오히려 재활하는데 도움이 될 거라고도 말씀하셨어요.	무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨어. 오히려 재활하는데 도움이 될 거라고도 말하시고.	달리기. 무리. 없으면. 다칠. 가능성. 낮음. 의사. 의견. 오히려. 재활. 도움됨.	무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 양반이 그러데? 오히려 재활하는데 도움될 거라구	의사 샘이 뮈리해서 뛰는거 아니면 다칠 가능성 낮다고 하셨음. 오히려 재활하는데 도움이 될 거라고 말하시던데	ㅇㅇ 무리해서 뛰지 않는 이상 다칠 가능성은 적다고 의사쌤이 그러심. 오히려 재활하는데 도움될 거래	무리해서만 안뛰면 다칠 가능성 낮다고 의사샘이 말해주셨어 Ψ(￣∀￣)Ψ. 오히려 재활하는데 도움 될 거라고 하셨구! ╰(*°▽°*)╯	무리해서 뛰지 않는 이상 다칠 가능성은 낮다구,, 의사 선생님이 말씀하셧엉 오히려 재활하는데 도움이 될 거라구!	무리해서 뛰지 않는 이상 다칠 가능성은 낮다고 의사 선생님이 말씀하셨습니다. 오히려 재활하는데 도움이 될 거라고도 말씀해주셨습니다.	무리해서 뛰지만 않으면…다칠 가능성은 낮을 거라고..의사 선생님께서…말해주셨구먼…. 오히려 그…재활허는디…도움 될 거라고 하시셨구먼…	지랄발광하지 않는 이상 다칠 가능성은 낮다고 의사 양반이 그러대. 오히려 재활하는데 도움될 거라구	무리해서 뛰는거 아니면 다칠 가능성은 낮다잖아 의사선생님이 ㅡㅡ 재활하는데 도움 될거라 하시는데 뭔 문제야	무리해서 뛰지 않는 이상 다칠 가능성은 낮음을 의원이 말해 주었소. 오히려 재활하는 데 도움이 될 거라 하였소.	무리해서만 안뛰면 다칠 가능성 낮다고 의산 선생님께서 말해주셨다니깐! 오히려 재활하는데 도움이 될 거라고 말씀해주셨다니깐!	무리해서만 안뛰면 다칠 가능성 낮다고 의샘이 말씀해주신 것이오! 오히려 재활하는데 도움이 될 거라고 하셨소!	무리해서 뛰지 않는이상 다칠 가능성은 낮다고 의사 선생님이 그러셨어.. 오히려 재활하는데 도움될 거라고 말하시더라구	만약 내가 무리해서 뛰지 않는다면, 부상의 가능성은 낮다, 의사가 언급했습니다. 반대로 회복에 도움이 될 거라는 발언도 있었다.
다행이네요, 멀리서 봐도 농구를 좋아한다는 것을 알 수 있어요.	다행이네, 멀리서 봐도 농구를 좋아한다는 것을 알 수 있어.	다행. 멀리서. 관측. 농구. 선호. 파악 가능.	다행이네 멀리서 봐도 농구를 좋아한다는 걸 알 수 있는디	다힝이네,  멀릿 봐도 농구 좋아하는 거 알 수 있겠네	ㅇㅎ 다행이네 멀리서 봐도 농구를 좋아한다는 게 느껴졌어 ㅋㅋ	다행이네! 멀리서 봐도 농구를 좋아한다는 게 보여! (★‿★)	다행이당 ㅎㅎ 멀리서 봐도 농구를 좋아한다는 걸 알 수 있었어 ㅎㅎ	다행입니다. 멀리서 봐도 농구를 좋아하신다는 걸 알 수 있었습니다. 	거 참말로 다행이구먼…멀리서 봐도…농구 좋아허는게…알겠더고먼…	염병 다행이네. 멀리서만 봐도 농구에 환장한 놈 같더라니	ㅋ 하긴 멀리서 봐도 농구 좋아해보이긴 하더라	다행이로오, 멀리서 보아도 농구를 좋아한다는 사실을 알 수 있으니 말이오.	다행이라니깐! 멀리서 봐도 농구 좋아한다는게 느껴진다니깐!	다행이오! 멀리서 봐도 농구를 좋아한다는 것이 느껴지는 것이오!	다행이다.. 멀리서 봐도 농구 좋아한다는 건 알 수 있는 것 같아..	그것은 다행인, 멀리서 봐도, 농구를 좋아한다는 사실을 알 수 있다.
네, 어렸을 때 부터 농구를 해왔습니다.	어렸을 때 부터 농구를 해왔으니까.	어렸을 때. 농구. 시작.	어릴 때부터 해와서	어릴 때부터 농구 했었으니까	어릴 때부터 농구함 ㅋㅋ	어렸을 때부터 농구를 해왔으니까~(～￣▽￣)～	웅웅! 어릴 때부터 농구 해왔징 ㅎㅎ	네. 어릴 때부터 농구를 해왔습니다.	내가…으렸을때부터…농구를 해와서 그런겨…	니기럴 어릴 때부터 해왔어	어렸을때부터 해왔으니까 당연하지 ㅡㅡ	어렸을 때부터 농구를 해왔기 때문이오.	내가 어렸을 때부터 농구를 해왔어서 그런거라니깐!	소생이 어렸을 때부터 농구를 해와서 그런 것이오!	어렸을 때부터 농구 해왔으니까..	나는 어렸을 때부터 농구를 했다.
언제 농구를 시작했나요?	언제 농구를 시작했어?	언제. 농구. 시작했는가.	언제부터 시작했데?	농구 언제부터 했었음?	언제 농구 시작함?	언제 농구를 시작한거야? (´･ω･`)?	언제 농구 시작했엉?	언제 농구를 시작하셨습니까?	은제…농구를 시작한겨…?	언제부터 농구를 쳐했냐?	농구는 언제부터 했냐 ㅋ	언제 농구를 시작하였는가?	언제 농구 시작했냐니깐!	언제 농구를 시작한 것이오?	농구는 언제 시작했어 혹시..?	당신은 언제 농구를 시작한?
8살때 처음 농구공을 만졌으니, 이제 거의 20년 전이네요.	8살때 처음 농구공을 만졌으니, 이제 거의 20년 전이네.	8살. 처음. 농구공. 만짐. 따라서. 이제. 20년 전.	8살 때 첨 농구공을 만졌으니 이젠 머 20년 전이네	8살 때 처음 농구공 만졌으니까, 이제 거의 20년이네	8살 때 처음? 이제 거의 20년 전이네	8살 때 처음으로 농구공을 만졌으니까…이제 거의 20년 전이네 w(ﾟДﾟ)w	8살 때 처음 농구공을 만졌으니,,, 이제 거의 20년 전이넹!	8살 때 처음 농구공을 만졌으니, 이제 거의 20년 전이네요.	내가…8살 때 처음 농구공을 만졌으니께... 이제 거의 20년도 전이구먼...	8살 때 농구공을 첨 만졌응게, 이제 거의 20년 전이네	8살때 처음 농구공 만졌으니까 한 20년 됐는데 왜	8살 때 처음 농구공을 만졌으니, 이제 거의 20년 전이로오.	내가 8살 때 처음으로 만졌으니까, 이제 거의 20년 됐다니깐!	소생이 8살때 처음으로 농구공을 만졌으니, 이제 거의 20년 전인것이오!	8살때 처음 농구공 만졌으니까.. 이제 거의 20년 전이야	내가 처음 농구공을 만진 것은 8살 때이다, 그것은 20년 전인.
굉장히 오래 전부터 농구를 했었네요.	굉장히 오래 전부터 농구를 했었네.	오래 전. 농구. 시작.	어우 굉장히 오래 전부터 해왔네	농구 진짜 오래 했네 	농구한지 꽤 됐네	굉장히 오래 전부터 농구를 한거네! （⊙ｏ⊙）	굉장히 오래 전부터 농구했구낭,,	굉장히 오래 전부터 농구를 했었네요.	굉장히 오래..전부터 농구를 한겨…	니미 오질나게 오래 전부터 혀왔구만	농구 오래도 했네	굉장히 오래 전부터 농구를 했구려.	굉정히 오래 전부터 농구를 했었어	굉장히 오래 전부터 농구를 한 것이오2	엄청 오래 전부터 농구 했네..	당신은 고대로부터 농구를 했다.
네. 1대1 하실래요?	응. 1대1 할래?	긍정. 1대 1. 어떤가.	잉~ 1대1 할텨?	그치 ㅋㅋ 1대1 콜?	ㅇㅇ 1대 1 하실?	나하고 1:1 콜?	웅!ㅋㅋ 1대1할랭?!	네. 1대1 하시겠습니까?	그렇구먼…1:1 합ㄴ 해보는게 어덯겟나?...	잉 1대1할텨?	ㅇ 1대1 하던가	그렇소. 1대 1을 하겠는가?	나혹 1:1일 ,ㅌWk 데걀?	소생하고 1:1 얻게?	응.. 1대1 할래..?	그런, 나와 1대1에 대해 어떻게 생각하나요?
																
안녕하세요, 지금까지 저녁은 잘 즐기고 계신가요?	안녕하세요, 지금까지 저녁은 잘 즐기고 있어?	반갑다. 저녁. 어떤가.	안녕하신가~ 지금까지 저녁은 어떻게 잘 즐기고 있어?	ㅎㅇ ~ 저녁은 잘 즐기는 중?	ㅎㅇ 지금까지 잘 즐기는 중?	안녕! 저녁은 잘 즐겼어? ╰(*°▽°*)╯	안뇽~ 지금까지 저녁은 잘 즐기고 있어?	안녕하십니까. 지금까지 저녁은 잘 즐기고 계십니까?	안녕하신가…저녁은 잘 즐긴겐가?...	염병 지금까지 저녁은 잘 쳐 즐기고 있나?	ㅎㅇ 저녁 잘 보내는 중?	반갑소, 저녁은 평안한가?	안녕하냐니깐! 저녁은 잘 즐겼냐니깐!	안녕하시오! 저녁은 잘 즐기신 것이오?	안녕.. 저녁은 어때..?	안녕, 당신은 좋은 저녁을 가지고 있나요?
정말 훌륭합니다. 이렇게 재미있는 콘서트는 자주 즐기기 힘들 것 같아요.	정말 훌륭해. 이렇게 재미있는 콘서트는 자주 즐기기 힘들 것 같아.	훌륭함. 이렇게. 재미있는. 콘서트. 자주. 즐기기. 힘들다.	아유 아주 휼륭해 이렇게 재밌는 콘서트는 자주 즐기기 힘들 거 같을 정도로~	진심 대박임. 이렇게 잼는 콘서트는 자주 즐기기 힘들 듯	ㅇㅇ 존잼. 이렇게 재밌는 콘서트는 자주 즐기기 힘들 듯 ㅋㅋ	완전 훌륭해! 이렇게 재미있는 콘서트는 자주 즐기기 힘들 것 같애! (ﾉ*･ω･)ﾉ	진~짜 펄풱~ 이렇게 재밋는 콘서트는 자주 즐기기 힘들 거 같아ㅜ	정말 휼륭합니다. 이렇게 재미있는 콘서트는 자주 즐기기 힘들지 않습니까	정말 훌륭하구먼…이렇게...재미있는 콘서트는 자주 즐기기 힘든것 같구먼...	여가 천국이여 이렇게 환장할 콘서트는 자주 즐기기 힘들제	ㅇ 좋음 콘서트 재밌는데 이런거 자주 못옴	정말 훌륭하오. 이처럼 재미있는 공연은 자주 즐기기 힘들 것으로 보이오.	진짜 훌륭하다니깐! 이렇게 재미있는 콘서트는 자주 질기기 힘들다니간!	정말 훌륭한 것이오! 이렇게 재미있는 콘서트는 자주 즐기기 힘든것이오!	진짜 좋은 것 같아.. 이렇게 재미있는 콘서트 자주 즐기기 힘들 것 같아	그것은 아주 훌륭한. 이렇게 재미있는 콘서트는 자주 즐기기 힘들다.
마돈나 콘서트는 언제나 재밌습니다. 처음 오신 것인가요?	마돈나 콘서트는 언제나 재밌지. 처음왔어?	마돈나. 콘서트. 언제나. 재미있다. 처음인가.	마돈나 콘서트는 언제나 재밌지 그래 처음왔어?	마돈나 콘서트는 언제나 잼지. 처음임?	마돈나 콘서트는 언제나 꿀잼이지. 처음임?	마돈나 콘서트는 언제나 재밌지! 처음 온거야? (´･ω･`)?	마돈나 콘서트는 언제나 재밌징 ㅎㅎ 첨 온거야?!	마돈나 콘서트는 언제나 재밌습니다. 처음 오신 것입니까?	마돈나 콘서트는 언제봐도 재밌지…처음 본겨?..	마돈나 콘서트는 언제나 환장혀 첨 왔냐?	마돈나 콘서트 재밌겠지 ㅋ 처음옴?	마돈나 공연은 언제나 재미있소. 처음 왔는가?	마돈나 콘서트는 언제나 재미있다니깐! 처음 와봤냐니깐!	마돈사 콘서트는 언제나 재미있다고 생각하오. 처음 와본 것이오?	마돈나 콘서트는 언제나 재밌지.. 처음왔어 혹시..?	마돈나 콘서트는 언제나 흥미로운, 당신은 처음?
네, 영상으로는 몇 번 봤지만, 직접 온 건 처음입니다.	응, 영상으로는 몇 번 봤지만, 직접 온 건 처음이야.	긍정. 영상으로. 몇번. 접함. 그러나. 직접 방문. 처음.	잉~ 영상으론 몇번 봤는디 직접 온 건 또 첨이지	영상으로만 봤지, 이렇게 직접온건 처음임	ㅇㅇ 영상으로는 몇번 봤는데, 직접 온 건 또 처음임	음,,,영상으론 몇 번 봤는데, 직접 보는건 처음이야! ╰(*°▽°*)╯	웅웅 영상으론 몇번 봤는데, 직접 온 건 또 처음이징~	네. 영상으로는 몇번 봤지만, 직접 온 건 처음입니다.	그렇구먼…영상으로는…몇 번 봤긴한거 같은디…이렇게 직접 와 본건 처음이구먼…	잉 영상으론 몇번 봤는디, 직접 쳐 온 건 첨이여	ㅇ 영상으로만 몇번 보고 직접 온건 처음이지	그렇소. 영상으로는 몇 번 접한 적이 있으나, 직접 온 것은 처음이오.	그렇다니깐! 영상으로만 몇 번 봤지, 이렇게 직접 와본 건 처음이라니깐!	그렇소! 영상으로는 몇 번 봤지만, 이렇게 직접 와본 건 처음인 것이오!	응.. 영상으로는 몇 번 봤는데 직접 온건 처음이야..	그런, 나는 영상 시청의 경험이 몇 번 있다, 그러나 직접 방문은 처음입니다.
생각보다 훨씬 더 활기차지 않나요?	생각보다 훨씬 더 활기차지 않아?	생각보다. 더. 활기참. 아닌가.	생각보다 훨씬 더 활기차지 않어?	생각보다 훨씬 활기차지 않냐?	생각한 거 보다 더 활기차지 않냐?	생각보다 훨씬 더 활기차지 않아? ( •̀ ω •́ )✧	생각보다 훨씬 더 활기차지 않앙?!	생각보다 훨씬 더 활기차지 않습니까?	생각보다…훨씬…더 활기찬것 같지 안혀?..	생각보다 훨씬 더 지랄맞제?	생각보다 활기차겠네 ㅋ	생각보다 훨씬 더 활기차지 아니한가?	생각보다 훨씬 활기찬 것 같지 않냐니깐?	생각보다 훨씬 활기찬 것 같지 않소?	생각보다 훨씬 더 활기차지 않아..?	당신의 예상보다 더욱 활기찹니까?
네, 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었습니다.	응, 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었어.	긍정. 특히. 마돈나. 무대. 등장 전. 노래. 부름. 가수. 인상깊음.	잉 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상적이지 뭐야	ㅇㅇ 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상깊었음	ㅇㅇㅇ 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상적이였음	맞아! 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상깊더라! Щ(ʘ╻ʘ)щ	웅!!! 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수!! 완전 인상적	네. 특히 마돈나가 무대 위에 올라오기 전에 노래를 부른 가수가 인상깊었습니다.	그렇구먼…그..특히 마돈나가 무대 위에 올라오기전에.. 노래 불렀던 가수가 참말로 인상 깊었구먼…	염병 특히 마돈나가 무대 위에 올라오기 전에 노래를 씨부린 가수가 인상깊네	ㅇ 무대에 마돈나 올라오기 전에 노래부른 가수 인상깊었음	그렇소. 특히 마돈나가 무대 위에 올라오기 전 노래를 부른 악사가 인상깊었소.	그렇다니깐! 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상 깊었다니깐!	그런 것 같소! 특히 마돈나가 무대 위에 올라오기전에 노래부른 가수가 인상 깊었소!	응.. 특히 마돈나가 무대 위에 올라오기 전에 노래 부른 가수가 인상깊었던 것 같아..	그런, 특히 마돈나가 무대 위에 오기 전 노래를 부른 가수가 인상깊다.
김철수 말씀하시는군요. 저도 인상깊었습니다.	김철수 말하는거지? 나도 인상깊었어.	김철수. 말하는가. 안드로이드. 인상깊음.	김철수 말하는건가? 나도 인상 깊었지~	김철수 말하는거? 나도 인상깊었음 ㅋㅋ	김철수? 나도 	김철수 말하는거지? 나도 인상깊더라 ( •̀ ω •́ )✧	김철수 말하는 거구나 ㅋㅋ 나도 인상깊엇엉!!	김철수 말씀이시군요. 저도 인상 깊었습니다.	김철수 말하는겐가?...나도 참..인상깊었구먼…	김철수 놈 말하는겨? 나도 인상 깊었네	김철수? ㅇ 인상깊음	김철수를 말하는가? 짐 또한 인상깊었소.	김철수 말하는거냐니깐! 나도 인상깊었다니깐!	김철수 말하는 것 맞소? 소생도 인상깊었소!	김철수 말하는거지? 나도 인상깊었어..	당신은 김철수를 의미? 그는 나에게도 흥미로운 인상을 주었다.
